﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1xNcBAoUw8Hz6LqK2jt4Ff","Call on Me - Radio Mix","Eric Prydz","Call on Me (Radio Mix)","1","1","171360","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:1Z6Vfr4dfuCt5exLdRA69X","Get Up - In the Club","DJ Ross, DY","Get Up","1","1","350200","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:0pMUR7Uvp6vxlbG0qBFvgM","Better Off Alone","Alice DJ","Who Needs Guitars Anyway?","1","2","217573","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:2c3sKqWYVJ0NsE3elgRhKH","Dragostea Din Tei","O-Zone","DiscO-Zone","1","5","215431","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:640AR2YmgcKoJpaqTnCE4R","Barbra Streisand - Radio Edit","Duck Sauce","Barbra Streisand","1","2","192731","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:20:02Z"
"spotify:track:1p12NpCtqLKHZYhD4iXC3E","Birdsong - Eagles & Butterflies Remix","Claptone, Zola Blood, Eagles & Butterflies","Fantast Remixes, Pt. 1","1","2","274789","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:6TbvnLRLNmiTrKJTppRYuV","Lafayette","Cassian","Lafayette","1","1","224733","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:5F5dA3feOoROfU8VBpnOiy","Underworld - Tuff City Kids Remix","Edu Imbernon, Duologue, Tuff City Kids","Underworld","1","1","465556","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:255wEicXIaS4y0NQYGEpqx","All I Need","Fancy Inc, Dymno","All I Need","1","1","270241","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:3d0lXu8fi8wOAW2chFrpTf","Appreciation","Goooey Vuitton","Appreciation","1","1","203809","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:2YIynoAsaebwdr1IIZWIw3","Nova - Cassian Remix","Yotto, Cassian","Nova (Cassian Remix)","1","1","284631","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:0Y7jYT21EajziOCTyovfLT","Otic","Alex Metric, Ten Ven","Otic","1","1","272000","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:0GKlCgxd7jKSzNZxQUjZvB","Fly With Me","Kyle Watson","Watermelons / Fly With Me","1","2","346969","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:7mrDkArgIuFoNtgtsmbe2N","Dark Flower - Joris Voorn Magnolia Mix","Robert Babicz, Joris Voorn","Dark Flower","1","3","521427","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:5yaGDSfEvvmmLl4yJBIRa6","Careless","Dusky","Careless","1","1","391685","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:08Uz2WDG2HpZwCX7qOn7OJ","You're Not Alone - Solomun Remix","Agoria, Blasé, Solomun","You're Not Alone (Solomun Remix)","1","1","503082","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:4d4XcuvhOshDHYCaUCssPx","Let U Go","Antdot, Meca","So Track Boa (Vol. 1)","1","17","232258","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:6l5Xe0OOqq56jWEYBoxXdE","Underwater - Yotto's Dawn Remix","RÜFÜS DU SOL, Yotto","SOLACE REMIXES VOL. 6","1","3","338439","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:0kDIirlQCy6YnmsK5pZ6PZ","I'm Not Alone - CamelPhat Remix","Calvin Harris, CamelPhat","I'm Not Alone 2019","1","1","244146","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:5ElG87cPqXMKfThHjoBV4q","Till We Die - Blond:ish Remix","Tomas Barfod, Nina Kinert, Blond:ish","Till We Die (Remixes)","1","3","532314","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
"spotify:track:0YzPsrhmSsA1R7L58x5id8","Nightfly - Extended Mix","Arm In Arm","Nightfly","1","1","422158","spotify:user:2g2dl6rbonf8oy5edsyjy7s6w","2020-05-04T12:17:42Z"
